src_ip,session,clean,unrated,suspicious,malicious
121.228.31.181,121ec3922a6f,55,28,3,3
121.228.31.181,098dae92f195,55,28,3,3
121.228.31.181,f86434d15b87,55,28,3,3
122.166.188.101,a50fced59e40,56,31,1,2
122.3.192.83,45fd123f8633,51,31,3,4
122.3.192.83,9ed5a224fbff,51,31,3,4
122.38.251.9,40786b94d9cd,56,30,2,2
122.38.251.9,1e2c8f8e9e45,56,30,2,2
122.46.16.230,64abb92a80b3,57,31,1,1
123.231.237.22,65a998174f1b,59,28,4,2
123.231.237.22,0eeef0093dee,59,28,4,2
123.231.237.22,9142e68dcb58,59,28,4,2
123.231.237.23,13f4230977ef,58,27,3,4
123.231.237.23,9167bde3e1c8,58,27,3,4
123.231.237.23,f42d7add0f0d,58,27,3,4
124.156.193.71,5ef9ddd8766b,55,30,2,3
124.221.242.4,42af5fad721a,55,29,3,4
124.223.45.97,513ebf7947e3,55,31,1,4
124.225.202.31,9eda44455286,53,29,3,5
124.67.68.118,1171520969a7,53,27,2,6
125.141.84.135,5cf98f2000e9,54,30,1,5
125.164.9.52,e60d0b15563a,58,31,1,3
125.164.9.52,681de3fd0334,58,31,1,3
125.164.9.52,33d907e8ad45,58,31,1,3
125.21.59.218,8b8c05ccca92,52,30,3,4
128.65.125.146,b45a1f1ee562,58,29,3,3
128.65.125.146,0a37f8c73adf,58,29,3,3
128.65.125.146,406da8f735a7,58,29,3,3
129.226.198.6,8f796161d1a4,57,31,2,1
129.226.198.6,814b48b8e65a,57,31,2,1
129.226.198.6,93fe699e2a8b,57,31,2,1
129.226.215.132,7f844d5d647f,55,31,2,3
129.226.215.132,d0337f17fa68,55,31,2,3
129.226.215.132,2385de744c4f,55,31,2,3
129.226.215.132,01a9860ad338,55,31,2,3
129.226.215.132,ae3458b2cc31,55,31,2,3
129.226.215.132,62f3d71b8270,55,31,2,3
129.93.241.5,958a03508b18,58,30,2,3
129.93.241.5,70aca406b614,58,30,2,3
129.93.241.5,a4f104767e22,58,30,2,3
129.93.241.5,0f035d7594a8,58,30,2,3
129.93.241.5,1e17953b7ce1,58,30,2,3
13.200.30.158,ee87f9212779,63,28,1,0
13.200.30.158,28f229a7f200,63,28,1,0
13.200.30.158,3258ee295406,63,28,1,0
134.122.8.241,63a3a6e307fe,51,29,2,6
134.122.8.241,6695b284581f,51,29,2,6
134.122.8.241,2597dacc7031,51,29,2,6
134.122.8.241,ea9d6f838efc,51,29,2,6
134.122.8.241,f24cb2cb2dfb,51,29,2,6
134.122.8.241,ed62769e8e1c,51,29,2,6
134.122.8.241,ca005710d244,51,29,2,6
134.209.250.243,3c865f474181,56,31,1,3
134.209.250.243,ab3c173f0d54,56,31,1,3
134.209.250.243,587846cb1d25,56,31,1,3
134.209.250.243,78ffff8044bf,56,31,1,3
134.209.250.243,865e2192c906,56,31,1,3
134.209.27.56,d1824952de77,53,30,1,4
134.209.87.38,660e9af75dad,58,31,1,2
134.209.87.38,c9eb7db57ff8,58,31,1,2
134.209.87.38,c118ff4fffae,58,31,1,2
134.209.87.38,cc7671038954,58,31,1,2
134.209.87.38,61234c3c7ee0,58,31,1,2
134.209.87.38,55a16c157aa1,58,31,1,2
134.255.180.95,86cf163c4417,59,33,1,0
134.255.180.95,5607638d8a56,59,33,1,0
134.255.180.95,d61f914db993,59,33,1,0
134.255.180.95,738cc5f8cfdc,59,33,1,0
134.255.180.95,fc509d20a593,59,33,1,0
136.228.161.66,69307d03ee8b,52,30,2,6
136.228.161.66,6d019c0af229,52,30,2,6
136.228.161.66,87b4ed03d932,52,30,2,6
136.228.161.66,85cd9d8b484f,52,30,2,6
136.228.161.66,9d95fe19dd2f,52,30,2,6
136.232.11.10,bdc256d02a73,52,29,2,5
136.232.11.10,b3c30b80c92a,52,29,2,5
136.232.203.134,41d7f022ed9a,52,28,3,5
137.184.0.177,ee3b63357bf8,52,29,2,5
137.184.148.230,499f0f152b5e,60,29,3,0
137.184.76.77,3ca60ce57aa2,52,29,2,5
137.184.76.77,0e5462556312,52,29,2,5
137.184.76.77,a2fdcbd9156a,52,29,2,5
137.184.76.77,af5c1d0af406,52,29,2,5
137.184.76.77,70fe0e7d0ab1,52,29,2,5
137.184.88.74,b38c486470fa,56,28,3,3
137.184.88.74,07bee010e14a,56,28,3,3
137.184.88.74,79d369b39619,56,28,3,3
137.184.88.74,b73f828b22a1,56,28,3,3
137.184.88.74,6656aae4efba,56,28,3,3
137.184.88.74,ad57d7529df8,56,28,3,3
138.117.224.2,3f943a38f21c,56,31,1,2
138.117.224.2,2ed738c9f078,56,31,1,2
138.117.224.2,14c1d998b44c,56,31,1,2
138.117.224.2,4d17fe16caa8,56,31,1,2
138.117.224.2,f11729b431ec,56,31,1,2
138.197.115.99,d12fb10514e1,59,29,2,3
138.68.146.108,dc9741e8c641,59,32,1,1
138.68.146.108,de7a58ac34e5,59,32,1,1
138.68.146.108,930314db1015,59,32,1,1
138.68.146.108,fb36c4548879,59,32,1,1
138.68.146.108,aed762a6b6d1,59,32,1,1
138.68.146.108,d10fd55b3c8f,59,32,1,1
138.68.146.108,0f079201a155,59,32,1,1
138.68.146.108,280688fb6fc0,59,32,1,1
138.68.146.108,56ea257586ea,59,32,1,1
138.68.146.108,a6644be92c2b,59,32,1,1
138.68.146.108,31008c1cd164,59,32,1,1
138.68.146.108,e77ab8215c91,59,32,1,1
138.68.148.139,af1da0514302,55,30,3,4
138.68.148.139,7a8050721656,55,30,3,4
138.68.148.139,0b482401f18f,55,30,3,4
138.68.148.139,acc3facf3437,55,30,3,4
138.68.148.139,d2d397d58e39,55,30,3,4
138.68.148.139,412256719694,55,30,3,4
138.68.151.15,e65094f900a5,54,32,0,4
138.68.185.61,e964e968d167,56,32,1,2
138.68.19.125,49330d7f9260,56,30,3,2
138.68.19.125,3140dabb9203,56,30,3,2
138.68.19.125,cb7c5a1c8fca,56,30,3,2
138.68.19.125,521d0adf01c0,56,30,3,2
138.68.19.125,8e26a591c84e,56,30,3,2
138.68.19.125,d8b7122c59d9,56,30,3,2
138.68.19.125,e9966797f1c3,56,30,3,2
139.155.30.57,00a56f05f050,56,31,2,2
139.59.10.188,71839d12d9fd,57,29,2,2
139.59.10.188,c08ddb919324,57,29,2,2
139.59.10.188,de8b19a395ac,57,29,2,2
139.59.10.188,74854a268af6,57,29,2,2
139.59.10.188,6d5151e8fc0b,57,29,2,2
139.59.10.188,634a5b9710e4,57,29,2,2
139.59.10.188,3ccacd99b97c,57,29,2,2
139.59.181.43,5a0b949d2043,56,31,1,2
14.103.40.38,f2f6677b926b,55,30,2,4
14.108.212.186,f07340b15f88,57,31,2,3
14.116.190.92,bfe0b23703a4,58,31,1,1
14.116.190.92,cc0ea5775464,58,31,1,1
14.143.255.43,3153a0279947,57,30,2,1
14.143.255.43,75a7225bf22e,57,30,2,1
14.143.255.43,2684938365aa,57,30,2,1
14.143.255.43,860c94e66625,57,30,2,1
14.143.255.43,82440a262786,57,30,2,1
14.143.255.43,0d56b61da3d7,57,30,2,1
14.225.231.149,2f2b8cdab933,56,25,3,8
14.225.231.149,e15703fcfa0a,56,25,3,8
14.225.231.149,72c787283ca9,56,25,3,8
14.225.231.149,e75c816bbe48,56,25,3,8
14.38.13.57,ed1337a9dcba,55,29,2,4
14.56.193.140,fa1ce69dfe8a,52,31,1,4
140.246.215.239,ee5817e05ac9,59,30,2,1
140.246.215.239,6831782c7037,59,30,2,1
140.246.215.239,1697530eae3c,59,30,2,1
140.246.247.122,4af697847f9a,53,28,3,5
140.246.38.1,771e8c086694,56,30,3,2
140.246.38.1,ce3df2068d5e,56,30,3,2
140.86.12.31,e585877a9c22,52,29,2,5
140.86.12.31,3cb31c487218,52,29,2,5
140.86.12.31,4d3f50f55e58,52,29,2,5
140.86.12.31,7d87e4cb5a15,52,29,2,5
140.86.12.31,dbf09849c6f6,52,29,2,5
140.86.39.162,002baf7873b0,55,27,2,5
142.4.2.25,c845fa5a6b1a,55,31,2,3
142.4.2.25,80bdaad65ff5,55,31,2,3
142.4.2.25,17946f05f19f,55,31,2,3
142.4.2.25,af4fa95104b8,55,31,2,3
142.4.2.25,d0a05cc360bd,55,31,2,3
142.4.2.25,722c1c1142a2,55,31,2,3
142.4.2.25,3b2f439e1855,55,31,2,3
142.4.2.25,08f61b6c003f,55,31,2,3
142.93.163.217,5235e2deccb4,56,30,3,1
142.93.197.192,eb9116fb53d9,57,30,2,2
142.93.197.192,d2076443449d,57,30,2,2
142.93.197.192,f3d18d7f8821,57,30,2,2
142.93.227.89,fecfca662a32,60,33,0,0
143.110.253.119,edecd1ffbac8,57,31,1,3
143.110.253.119,4ac79add2b05,57,31,1,3
143.110.253.119,c5c8a2bed3c4,57,31,1,3
143.110.253.119,a021daff40d9,57,31,1,3
143.110.253.119,ebeb30c75ec1,57,31,1,3
143.110.253.119,301020abe8d1,57,31,1,3
143.110.253.119,36116302cbeb,57,31,1,3
143.110.253.119,5334c2733f94,57,31,1,3
143.110.253.119,e0560c767141,57,31,1,3
143.198.146.239,7c9db38cb2b2,53,28,2,4
143.198.146.239,4e7c0fd6bea0,53,28,2,4
143.198.146.239,53c5c296b3bc,53,28,2,4
143.198.3.219,7c420bc688c8,58,28,3,1
143.198.3.219,1e46330c1a9e,58,28,3,1
143.198.87.153,d46d78aa9579,55,30,2,2
