src_ip,session,clean,unrated,suspicious,malicious
45.147.251.229,e72305390ea4,52,29,2,5
45.147.251.229,8979a9f9c002,52,29,2,5
45.147.251.229,01ee88c46570,52,29,2,5
45.148.10.46,281c4863c03a,53,30,2,4
45.150.26.178,0664930be99b,55,30,3,3
45.156.22.179,b2816f5d05d5,57,30,2,2
45.172.152.74,d65940bc7061,52,29,3,5
45.184.110.215,5ecf6a8f8b10,59,30,1,2
45.195.198.133,274c626ba9ff,58,31,2,1
45.252.181.30,a45449c43ccc,57,29,3,1
45.252.181.30,2cda37d58330,57,29,3,1
45.252.181.30,502b4fba7f44,57,29,3,1
45.252.181.30,a685ff045989,57,29,3,1
45.252.181.30,32f849da5694,57,29,3,1
46.101.5.246,7e2a5a38b6ca,57,33,1,2
46.101.5.246,48ca250cb092,57,33,1,2
46.101.5.246,fe18e29c9270,57,33,1,2
46.101.5.246,95db82fc4028,57,33,1,2
46.101.75.67,5fdf42a8e0d4,58,34,1,1
46.101.75.67,d27ab2b06b41,58,34,1,1
46.242.59.251,7a80f2c3b6de,57,30,1,5
46.245.67.211,b8e528812ce2,57,31,2,3
46.245.67.211,cd4fc8fa3bcb,57,31,2,3
46.245.74.68,e827071bd664,59,32,1,1
46.245.74.68,8bde01d612b9,59,32,1,1
46.245.74.68,7109dfa1e6d7,59,32,1,1
46.245.74.68,cbc591fff833,59,32,1,1
46.245.74.68,f78fe939a64e,59,32,1,1
46.245.74.68,9b88c8956c78,59,32,1,1
46.245.74.68,dae64327eeb5,59,32,1,1
46.245.74.68,f2e61ee84bb7,59,32,1,1
46.245.74.68,98f8c3323b35,59,32,1,1
46.245.74.94,5ebbde9dcb2e,59,30,2,2
46.245.74.94,c14272ee6700,59,30,2,2
46.245.74.94,c51784592287,59,30,2,2
46.245.74.94,a61de0575a00,59,30,2,2
46.245.74.96,af43a8e435fd,56,28,4,3
46.245.74.96,7abf38fd236a,56,28,4,3
46.245.74.96,009904bfdb9a,56,28,4,3
46.245.74.96,ad993bb757e6,56,28,4,3
46.245.74.96,5b00c255ad9d,56,28,4,3
46.245.74.96,3618c2488351,56,28,4,3
46.245.74.96,fe8a041e0d54,56,28,4,3
46.245.74.96,904ac67f2fcb,56,28,4,3
46.245.74.96,8d1b80c27492,56,28,4,3
46.245.74.96,37093b6cebf1,56,28,4,3
46.245.74.96,c6b9e0f64e8f,56,28,4,3
46.245.74.96,e182d84af294,56,28,4,3
46.26.87.251,e42331219712,55,30,4,2
46.26.87.251,0bfa25d38fce,55,30,4,2
47.236.195.82,e24e1190cc4f,59,30,3,1
47.236.195.82,277953d7c46a,59,30,3,1
47.236.195.82,6401c7b03103,59,30,3,1
47.236.23.84,5be4dbd42646,58,30,1,2
47.236.29.244,442262da39b1,59,30,3,1
47.236.29.244,665d87cffd12,59,30,3,1
47.236.29.244,fb3e555ad849,59,30,3,1
47.236.67.255,5a0c7d26552e,56,31,2,3
47.236.67.255,796bcf073477,56,31,2,3
47.236.67.255,56d3bddd9f19,56,31,2,3
47.236.67.255,75d772bd7748,56,31,2,3
47.236.67.255,6cbbc445bd6b,56,31,2,3
47.236.98.216,c1e55e0fc62d,57,30,1,4
47.236.98.216,72cde254df61,57,30,1,4
47.236.98.216,bbd26d1f2a4d,57,30,1,4
47.236.98.216,a6521fe563ec,57,30,1,4
47.236.98.216,93f8a4b68572,57,30,1,4
47.236.98.216,26d7383c25b1,57,30,1,4
47.236.98.216,a00326e308e7,57,30,1,4
47.236.98.216,86d828f3e705,57,30,1,4
47.254.195.119,81aea0b67c99,53,32,1,5
47.254.195.119,9bb542aa829f,53,32,1,5
47.254.195.119,a695c32d3708,53,32,1,5
47.254.195.119,b4ae9c2969f9,53,32,1,5
47.45.19.247,5c72bd054763,60,32,1,0
47.45.19.247,40081576bc43,60,32,1,0
47.84.81.61,8101efc9ba81,57,27,2,6
47.84.81.61,5d741d496d58,57,27,2,6
47.84.81.61,cace6d1e032b,57,27,2,6
47.84.81.61,c58d10d4d448,57,27,2,6
47.84.81.61,c4ed58e8fff0,57,27,2,6
47.84.81.61,eb949b358810,57,27,2,6
47.84.81.61,f245ee177cb9,57,27,2,6
47.84.81.61,da9caed82a01,57,27,2,6
47.98.105.116,caa131b76123,59,31,1,1
47.98.105.116,4a6666773849,59,31,1,1
49.229.102.187,d608c6bd4a7a,52,30,2,5
49.229.102.187,1fe348dc5f03,52,30,2,5
49.229.102.187,d6a5e711dc8d,52,30,2,5
49.43.248.191,1568f8a8c431,59,33,1,0
49.43.248.191,f3d689eb3229,59,33,1,0
49.43.248.191,d8ce4cdc44fc,59,33,1,0
49.43.248.191,8064f58a1909,59,33,1,0
49.49.251.233,238885a874af,58,33,1,1
49.49.251.233,c25fe026e3d4,58,33,1,1
5.134.255.132,06f37d5658e6,57,27,2,7
5.134.255.132,221b26bb9b2a,57,27,2,7
5.182.211.148,78ed91f3a997,55,28,0,6
5.182.211.148,fb309951165f,55,28,0,6
5.182.211.148,f90bc3a0e641,55,28,0,6
5.182.211.148,653cfe0b54ac,55,28,0,6
5.182.211.148,852bacad91e1,55,28,0,6
5.182.211.148,6bed6ae8e7ce,55,28,0,6
5.182.211.148,95542304d741,55,28,0,6
5.182.211.148,84fef4532408,55,28,0,6
5.182.211.148,9069b058d1e4,55,28,0,6
5.182.211.148,284ca51239f6,55,28,0,6
5.182.211.148,e79dd7610e6e,55,28,0,6
5.182.211.148,2b5641f26a5a,55,28,0,6
5.182.211.148,cdbfcb224a57,55,28,0,6
5.182.211.148,66b48d750687,55,28,0,6
5.182.211.148,e2af73b62be3,55,28,0,6
5.250.188.211,ba229e8885f5,54,30,2,4
5.250.188.211,92ffee25329a,54,30,2,4
5.42.82.188,8906034ce406,55,29,4,2
5.42.82.188,a35c1b581584,55,29,4,2
5.42.82.188,9acef5dcf93a,55,29,4,2
5.42.82.188,e6fb28b56210,55,29,4,2
5.42.82.188,c5ef0adc0dc0,55,29,4,2
5.42.82.188,4edc6b84229f,55,29,4,2
5.42.82.188,befcbb4b3a92,55,29,4,2
5.42.82.188,3d26aa940f12,55,29,4,2
5.42.82.188,3a760379fbc0,55,29,4,2
5.42.82.188,8cf4c4e4165c,55,29,4,2
5.42.84.75,410812557c32,56,30,1,3
5.42.84.75,ed45c5459e59,56,30,1,3
5.42.84.75,8eaf6fa66419,56,30,1,3
5.42.84.75,5fc8e9a3cd82,56,30,1,3
50.84.211.204,c68090e25cef,50,29,2,7
50.84.211.204,f3309e558d02,50,29,2,7
50.84.211.204,4d60204a010a,50,29,2,7
