src_ip,session,clean,unrated,suspicious,malicious
82.16.253.168,35da7abe68c6,60,27,3,3
82.207.8.154,a07db8b4319f,51,28,3,6
82.207.8.154,5cd277b24bc3,51,28,3,6
82.207.8.154,57a71651e46f,51,28,3,6
82.207.8.154,4b7308213291,51,28,3,6
82.207.8.154,d2c8f1115077,51,28,3,6
82.207.8.198,59e2abc55099,55,28,3,2
82.207.8.198,b698ebb6fa97,55,28,3,2
82.207.8.198,8f8daa5fb66f,55,28,3,2
82.207.8.198,eeb2716aaf17,55,28,3,2
82.207.8.198,85dbd78ffe59,55,28,3,2
82.207.8.198,f1f92c551f6e,55,28,3,2
82.207.8.198,f409b844e6a3,55,28,3,2
82.207.8.198,08f4c00ed255,55,28,3,2
82.207.8.198,4c4abb377e38,55,28,3,2
84.39.250.160,e8a85d8b4edc,55,31,1,3
84.39.250.160,abcbace3d6ed,55,31,1,3
84.39.250.160,c5ec80383519,55,31,1,3
84.39.250.160,bf327b50b85b,55,31,1,3
84.39.250.160,bba1bc7d20c4,55,31,1,3
84.52.103.234,5e03e3ffcbeb,54,30,2,4
